datetime	price	type	latitude_to	longitude_to	latitude_from	longitude_from	label_from	label_trend
14.06.2014 13:09	-324	AIRFARE	-95.2891879	29.9028043	-86.639913	60.62596	SOUTHWES    5262101060214 	DoWD
14.06.2014 13:09	8	AIRFARE	-95.2891879	29.9028043	56.85967	60.62596	SOUTHWES    5262177197212 	DoWD
15.06.2014 15:19	162.46	AIRFARE	-95.2891879	29.9028043	56.809719	60.61236	SOUTHWES    5262167866864 	DoWD
15.06.2014 20:34	155.96	AIRFARE	-95.2891879	29.9028043	56.785951	60.617121	SOUTHWES    5262177144006 	DoWD
16.06.2014 15:00	450	REGISTRATION	-95.2891879	29.9028043	56.826281	60.589264	CORD/NCPN                 	DoWD
16.06.2014 19:15	7	Hotel	-77.0731739	38.8618671	56.837657	60.617615	AGENT FEE   8900671371745 	DoWD
16.06.2014 21:53	606.81	Hotel	-77.0731739	38.8618671	56.819577	60.579122	WESTIN CRYSTAL CITY       	DoWD
17.06.2014 21:51	606.81	Hotel	-77.0731739	38.8618671	56.812946	60.607859	WESTIN CRYSTAL CITY       	DoWD
18.06.2014 20:03	404.54	Hotel	-77.0731739	38.8618671	56.855236	60.634764	WESTIN CRYSTAL CITY       	DoWD
19.06.2014 12:57	160.82	AIRFARE	-77.0731739	38.8618671	56.887094	60.600421	DELTA AIR   0067665881419 	DoWD
25.06.2014 18:16	211.2	AIRFARE	-122.4061166	47.6148266	56.844126	60.609853	AMERICAN AI 0017668997993 	DoWD
25.06.2014 19:00	596.2	AIRFARE	-122.4061166	47.6148266	56.79061	60.766537	DELTA AIR   0067597265555 	DoWD
